username,full_text
taksuka,cash keras yang ada di danantara dividen bumn realokasi efisiensi apbn equity bumn
batamtoday,fahri hamzah sebut danantara bisa bangkitkan raksasa tidur bumn indonesia
politiknesiacom,menteri umkm maman abdurrahman pastikan danantara tak pengaruhi penyaluran kur bank bumn
NarasiNewsroom,pembentukan superholding bumn danantara menimbulkan beberapa pertanyaan salah satunya isu soal conflict of interest struktur pengurus danantara lalu bagaimana pendapat ekonom yang juga dewan pakar prabowogibran ferry latuhihin terkait hal ini bicara
mawar_berduri08,spy masyarakat melihat bhwa bumn itu pada korup semua sehingga lebih baik percaya danantara yg fresh from the oven utk mengelola aset negara
tomiepalito,nahh iya juga wkwkw danantara tek udah ada kemenbumn udah ada ina dibuat lg danantara itu perusahaan2 under bumn nurutnya sama siapa klo ada keputusan berlawanan antar ketiga instansi ini
Afrizalbotong,danantara launching then korupsi bumn banyak bangettt hmmm
bharatasoim,prof dr darmadi anggota komisi vi dpr ri kami menegur dan beri peringatan keras kepada wakil menteri bumn dony oskaria yg rangkap jabatan jadi coo di danantara presiden prabowo tidak boleh tunjuk mereka karena langgar uu mk amp kementrian citra presiden jatuh
bharatasoim,prabowo langgar uu mk dgn menunjuk bos danantara yg rangkap jabatan rosan sbg ceo rangkap menteri investasi dony sbg coo rangkap wkl menteri bumn investor tdk percaya ke danantara setelah peluncuran danantara lemahnya ihsg anjloknya saham bumn
ZongWanxue,karena sudah terjadi sementara danadantara itu belum terjadi makanya mahasiswa mencegah dan kalau sampai danantara dikorupsi maka semua bumn kita rontok ga bersisa
HidupNusantara,danantara merupakan langkah strategis untuk mengatur aset negara yang selama ini ada di bumn
tesamaw2,danantara maksimalkan dividen bumn pastikan tak ganggu dana nasabah
pumopumi1,danantara maksimalkan dividen bumn pastikan tak ganggu dana nasabah
derryakbr,danantara maksimalkan dividen bumn pastikan tak ganggu dana nasabah
annisaAM0,nah ini aneh danantara itu holding investasi apa lembaga zakat tarik aja duit dari bank bumn
BadangSetiawan,danantara maksimalkan dividen bumn
_justwannatalk,sejak awal awal rilis danantara dan liat orang orang yang ada disana gw langsung kosongin saldo di bank bumn bom waktu itu
ImaginarySteady,nih contoh berita hoax tentang danantara oalah anda ini pasti orang yg dirugikan jika keuntungan bumn disatukan agar gampang diaudit karena nantinya auditnya transparan semudah itu kita membaca suatu berita yg menyesatkan kaumkaum penerima kebocoran akan teriak nyaring
AwanM3ndung,danantara itu perusahaan investasi tapi gak punya cash sedangkan 14ribu triliun itu berupa aset bumn bukan cash untuk investasi yg dibutuhkan itu duit cash
GangsaMaul3252,danantara sebagai konsolidasi kekuatan ekonomi indonesia bersama bumn kita bangun daya saing dan perekonomian yang lebih maju
GangsaMaul3252,kenapa investasi di indonesia belum maksimal karena aset bumn masih terpisah tapi sekarang ada danantara investor makin percaya
GangsaMaul3252,danantara sebagai lembaga negara untuk mengisolasi bumn dari intervensi politik dan kekuasaan seperti yang dilakukan di negaranegara maju
Dimas26316340,ini alasan danantara kelola bumn moncer
PesulapBotak,danantara mengelola aset bumn yang bertujuan meningkatkan ekonomi nasional
PesulapBotak,danantara mengelola aset bumn yang bertujuan meningkatkan ekonomi nasional
Susii_Susan,danantara merupakan langkah strategis untuk mengatur aset negara yang selama ini ada di bumn agar lebih efektif dan terarah
Bud_Cavalera,menteri investasi menjabat ceo danantara artinya regulator merangkap operator ini dapat menimbulkan konflik kepentingan dewan pengawas juga diisi mentri bumn yg terbukti gagal mengelola bumn ketua dewan pakar eks koruptor perbankan pasar merespon negatif terbukti ihsg melemah
Bastenjiggle,kalau begtu bisa ada kemungkinan cash danantara sebagian besar datng dari bank bumn bisa jd high risk uanh di bank bumn
Chanelshaka7,lha efisiensi ktnya untuk dana mbg nyatanya mau buat danantara yg kemungkinan besar di korupsi apa ada bumn yg tidak dikorupsi ujungujungnya buat dana pilpres 2029
babangkres,1 bumn babak belur blm korupsinya 2 liga acakadul wasit apalagi fokus cuma naturalisasi timnas 3 danantara otw seperti nomer 1 dan 2
ureungpungoo,sebagai badan pengelola investasi nasional danantara berfungsi mengelola aset bumn tanpa bergantung pada anggaran pendapatan dan belanja negara apbn pemerintah berharap inisiatif ini dapat mendorong pertumbuhan ekonomi yang lebih stabil dan berkelanjutan
letihgundah,mau tanya dong danantara pake apbn juga kirain dividen dari kumpulan bumn jugaaa mau dijelasin plis
Brahim_maldini,esdm bumn mau cuci tangan biar yg dirujak pertaminul doang gitu bacanya
fxnetizen,bumn hancur digabung jd satu mjd danantara bs jd nanti yg bagus jd ikut amburadul krn adanya banyak kepentingan politik wajar sih krn pejabatnya diisi oleh dinasti baru wowo cerminan periode ke 3 wiwi
Safrudin_09,tema pokok diskusi soal danantara ferry cuma gak setuju kalo bank bumn dilibatkan punya resiko tinggi katanya simpel
albanecress6,modal danantara dipastikan bukan bersumber dari uang masyarakat masyarakat tidak perlu khawatir untuk menempatkan dananya di bank bumn
ParlaBGR,bacanya kebalik dong artinya udah ga ada investor yg mau masuk indo jdlah danantara yg ambil dividen bumn yg harusnya langsung masuk sbg penerimaan negara buat diinvestasi dl lah iya kl untung kalau rugi dan dikorupsi
Safrudin_09,ferry tdk setuju ke soal bank bumn yg dilibatkan ke danantara krn punya resiko tinggi pdhl yg diincar danantara adalah deviden keuntungan utk diinvestasikan keuntungan bumn selama ini kan masuk apbn utk belanja dihabisin semua kalo bumn busuk mana mungkin untung
natasha_saja,diselingkuhin berkali2 kita disuruh percaya kalau dia setia minta dikasih kesempatan lagi jangan skeptis duluan katanya korupsi bumn dimana2 hukum tebang pilih hukuman ringan eh kita disuruh percaya sama danantara yg ngelola circle dia2 juga
Gatsme,narasi lbp ibarat logika yg dibolak balik temasek itu invest krn kelebihan likuiditas sdgkan danantara berharap investor masuk dg cara dipancing dg kumpulan aset busuk bumn dan fresh money hasil efisiensi apbn yg endingnya utang2 juga
PesonaNegeriku2,menteri umkm maman abdurrahman pastikan danantara tak ganggu penyaluran kur bank bumn
PesonaNegeriku2,dasar pembentukan danantara dasar hukum uu no 19 tahun 2003 tentang bumn uu bumn
HYulianda27992,danantara merupakan langkah strategis pemerintah mengelola aset bumn secara efektif dan terarah
LenaLilian42023,danantara merupakan langkah strategis pemerintah mengelola aset bumn secara efektif dan terarah
abinandar2003,wahai sahabat danantara itu bertugas sebagai sumber pendanaan saat pilpres 2029 gol dari danantara adalah presiden seumur hidup apbn udh ga bisakrn udh kering yg ada tinggal uang2 di bumn gendut aseng juga udh ogahkrn pagar lautnya dibongkar
baronben_,danantara merupakan langkah strategis pemerintah mengelola aset bumn secara efektif dan terarah
Nan4_ecia,danantara adalah langkah strategis pemerintah untuk optimalkan aset negara tingkatkan efisiensi bumn dan dorong ekonomi berkelanjutan indonesia siap bersaing di level global
Nan4_ecia,dengan danantara aset negara lebih optimal dan bumn makin efisien ini strategi cerdas buat pertumbuhan ekonomi yang lebih stabil dan berkelanjutan
Nan4_ecia,pemerintah hadir dengan solusi danantara jadi kunci pengelolaan aset negara yang lebih baik memastikan bumn bekerja optimal dan ekonomi tumbuh lebih cepat
Nan4_ecia,danantara hadir untuk mengelola aset negara dengan lebih baik dengan bumn yang lebih efisien pertumbuhan ekonomi makin stabil dan berkelanjutan
Nan4_ecia,bumn bukan sekadar perusahaan negara tapi juga motor ekonomi danantara hadir untuk memastikan aset dikelola lebih efisien dan ekonomi terus tumbuh
GolkarSolid,berpuasa menyehatkan tubuh shalat menyehatkan jiwa menteri umkm maman abdurrahman pastikan danantara tak ganggu penyaluran kur bank bumn
gayoesme,danantara kelola 7 aset bumn raksasa
gayoesme,kehadiran bpi danantara dapat mengurangi ketergantungan bumn terhadap penyertaan modal negara
gayoesme,danantara adalah konsolidasi semua kekuatan ekonomi kita untuk pengelolaan bumn
povnyaeva,petral dibubarin perkara banyak mafia tapi mafia nya dimasukin jadi pejabat pertamina cuma ganti pemain aja intinya mah banyak bumn bubar perkara skandal juga dianya masih sibuk pencitraan sana sini gak tau malu dan danantara berharap apa si sama menteri model begitu
ahmadbejoinsani,rangkap jabatan menteri bumn ketua pssi amp danantara gmn bumn gak banyak yg kolap kerja gak fokus korupsi gila2an di pertamina mana tanggung jawab elu rick 5th korupsi berlangsung masak elu gak tahu
dimarcotop,komisi vi kebut uu bumn malam minggu untuk lahirkan danantara sementara anggota dpr lain tak mampu membendung kekuatan senayan mari bicara terang parlemen telah berubah dari rumah rakyat menjadi ruang karaoke elit politik yang menyanyikan lagu pesanan penguasa dengan tarif
Mangun666,beberapa hal yang harus dicermati 1 saat menyuruh bumn setor uang ke danantara dia berlaku sebagai regulator sebagai pejabat 2 saat terima uang dan mengelola uang danantara dia sudah bukan lagi sbg pejabat negara 3 trus yang selalu diulas dan dibicarakan niat baik
alesykou,bayangin aja salah satu bumn terbesar buat danantara kena kasus begini emang danantara ini ga berkah terlalu banyak merenggut hak orang kecil jd kaga danta
golekkeringet,karena pengalihan isu danantara blogg grup bumn yg masuk danantara nilai sahamnya nyungsep semua tau ga blogg sama halnya carut manut gass buat pengalihan isu pagar laut cem mana tuh blogg pagar laut kabarnya 30km mosok ga ketemu yg masang tololl berjamaah emang
Mangun666,konstruksi legalnya emang bermasalah bahasa sederhananya 1 saat memerintahkan bumn untuk setor ke danantara sebagai pejabat negara 2 saat menerima dan mengelola danantara bukan sebagai pejabat negara wasit sekaligus striker yang bermain di lapangan
kafir_introver,beda pak bumn itu jatohnya perusahaan yang punya kewenangan sendiri dalam mengelola internal perusahaan pemerintah ga bisa intervensi secara langsung daleman bumn banter ya lewat pemilihan komisaris ato penunjukkan direksi danantara presiden justru jadi pengarah
Mangun666,beberapa hal yang harus dicermati 1 saat menyuruh bumn setor uang ke danantara dia berlaku sebagai regulator sebagai pejabat 2 saat terima uang dan mengelola uang danantara dia sudah bukan lagi sbg pejabat negara 3 trus yang selalu diulas dan dibicarakan niat baik
tabibito_93,danantara launching aja saham2 bank bumn terjun belom lagi pertamini ini lagi bank emas kocaag
dimarcotop,mensyaratkan pemisahan operasional yang jelas antara danantara dan bumnbumn anggotanya dengan tata kelola terpisah dan pengambilan keputusan investasi yang independen
kaesang644,di bumn nyuri di pssi nyolong di mana lg ngrampok danantara
dimarcotop,menariknya belum ada kejelasan tentang struktur hukum danantara apakah ini akan menjadi entitas terpisah dari kementerian bumn bagaimana pembagian kewenangan antara danantara dan kementerian bumn kekhawatiran terbesar adalah danantara bisa menjadi negara dalam negara dengan
nalarto,danantara menampung 8 deviden bumn utk di investasikan dlm ketahanan pangan dan hilirisasi deviden bumn selama ini masuk ke negara depkeu
omsenank1,harus itu karena bila dah tau danantara dikorupsi itu berarti dah kolaps kayak jaman ibnu sutowo korupsi pertamina itu hampir membangkrutken dairpada negara padahal itu cuma 1 perusahaan lha danantara itu duit cash semua perusahaan besar bumn dikumpulken jd 1 terus dikorupsi
kompascom,ojk memandang badang pengelola investasi daya anagata nusantara bpi danantara akan menjalankan peran strategis mendukung peningkatan kinerja bumn yang dikelola ll
edyibnikawhe,kritik indef soal danantara jika hanya jadi superholding perusahaan bumn saja tidak terlalu bermanfaat
bangsamsul_,kalo bego jangan setengah2 tanggung jelas2 danantara itu tempat tabulasi kas negara dari profit bumn yang akan di realokasi untuk direct investment ke berbagai sektor strategis return nya langsung masuk ke kas negara elah
YahyaAbdRmn,kalau dengar penjelasannya memang ngga masuk akal memasukkan bumn apalagi bank ke dlm suoer holding dan berharap investor mau masuk selain investor paham kondisi bumn spt apa figur2 dlm struktur danantara juga figur politis yg rawan konflik kepentingan
su39014,dia ngomong setuju bukan gak setuju kalo bumn lagi bagus semua keuntungan nya jadi gak cuma 7 bumn yang masuk danantara
ota_bibar2,sadar dirilah jangan rakus jabatan agar kwalitas anda terlihat di danantara dan pssi saja bumn dan bank emas lepas berikan pada yg profesional
Mangun666,beberapa hal yang harus dicermati 1 saat menyuruh bumn setor uang ke danantara dia berlaku sebagai regulator sebagai pejabat 2 saat terima uang dan mengelola uang danantara dia sudah bukan lagi sbg pejabat negara 3 trus yang selalu diulas dan dibicarakan niat baik
ekakayeeee,danantara bumn kabinet yang busuk nan gemuk dwi fungsi tni tentaratentaraan palsu dan kepolisian yang sangat korup dengan bayar bayar bayar nya paling gelap adalah prabowo hanyalah second account jokowi konsepnya terlalu balas budi lawan
Gen_cuan,ojk memandang danantara akan menjalankan peran strategis mendukung peningkatan kinerja bumn yang dikelola
DeniMulyad14899,rencana pembentukan danantara mustahil dibentuk tiba oleh pemerintahan prabowo dlm 100hr pemerintahannya boleh jadi rejim sebelumnya sdh merencanakannya atas desakan big brother yg banyak menggelontorkan hutang ke bumn
AbdurrasyidRah1,danantara pake apbn kah rasanya aset bumn yg dikumpulkan trus mslh etho jelas biar hukum berjalan dan sekali lg danantara blm melantai secara resmi
HidupNusantara,danantara merupakan langkah strategis untuk mengatur aset negara yang selama ini ada di bumn
aritj,kalau bbrp bumn kita setiap thn bisa mencetak untung besar amp pemerintah berpikir bisa memanfaatkannya dg lbh baik kalau menginvestasikannya melalui danantara apakah itu cara terbaik menyediakan barang publik dan best practice pembiayaan pembangunan jawabannya juga big no
denkz99,memang betul sih asset dialihkan ke danantara fungsinya apa atau mungkin akan digunakan sebagai collateral kalau butuh dana pinjaman bisa habis bumn kalau gagal
ilhamiasnawi,peran menteri bumn dan kepala badan dalam pp danantara
fajaronline,peneliti senior csis keberadaan danantara sebenarnya sama seperti kita katakan selama ini kementerian bumn gagal
Aldolar88,negara di ambang kehancuran banjir bekasi bogor presiden danantara bumn pertamina jokowi prabowo
LeilaLylie,bumn aja semua dibenahi dulu baru mikirin danantara
golekkeringet,bakar foto ditangkap pelaku pagar laut ga terungkap deklarasi danantara bikin anjlok saham2 bumn yg masuk dollar merangkak naik pengangguran makin merajalela diadili ga tuh
vivianvaleriena,minta maaf jalan buktikan permintaan maafmu amp jalani proses hukum klo udh divonis masuk bareng rakyat kecil di lapas yang desak2an pejabat cupu gak py nyali ga py kejantanan ngadepin dampak kelalaian sendiri perbaiki sistem korup bumn ganti orang2 danantara dgn yg independen
ricardo_bobby,itu fungsi danantara dan revisi uu bumn supaya mengurangi kriminalisasi direksi dan manajemen
cnbcindonesia,tinjauan uu nomor 1 tahun 2025 paradigma bumn hingga arah danantara
TradingDiary2,hasil mengobrol dan curhat ke prediksi sudah mempertimbangkan nilai tukar usd idr inflasi danantara dan pendanaan 3 juta rumah oleh bank bumn liquiditas kenaikan suku bunga bi kemungkinan akan naik tetapi hanya sebesar 25100 bps pada 2025 sehingga suku bunga
AskPerplexity,erick thohir memang memegang banyak peran penting seperti menteri bumn ketua pssi dan ketua pengawas danantara kritik terhadap kinerja di bumn tata kelola liga sepak bola atau politisasi di danantara adalah isu yang kompleks dan sering menjadi sorotan publik perlu data
Lanun_1017,danantara kapitalis birokrat sbgai regulator amp operator sistemik risk pda bank tak jadi pertimbangan aset yg dijadikan modal semuanya busuk trmasuk bumn karya pertamina pln amp bumn karya itu publik service obligation tak mengutamakan keutungan inves tunai justru dri apbn
Jumianto_RK,danantara penjelmaan dari bumn sedangkan bumn sendiri busuk
DJ_Luvly,danantara khawatir juga sih ponzi scheme yg di legalisasi negara bumn digadaikan karena negara tidak punya uang
Dayak2018,ragara danantara tabungan pada di tarik dari bank bumn
NarasiNewsroom,pemerintahan prabowogibran mengklaim pembentukan superholding bumn danantara dan program makan bergizi gratis sebagai strategi besar memperkuat ekonomi dan meningkatkan kesejahteraan rakyat namun klaim ini justru menuai kritik ekonom yang juga dewan pakar prabowogibran
pengusahacanti1,danantara membawa harapan baru dalam manajemen aset bumn menciptakan sistem ekonomi yang lebih modern efisien dan kompetitif di tingkat global
pengusahacanti1,dengan danantara perusahaanperusahaan bumn dapat dikelola lebih baik melalui skema joint venture yang meningkatkan efektivitas dan akuntabilitas
pengusahacanti1,konsolidasi aset bumn melalui danantara membuka peluang baru bagi pengelolaan ekonomi yang lebih profesional dan berorientasi jangka panjang
budikst,paling dijadi in bumn terus di masukin dah ke danantara cocoknya jadi badut saja kau
Andrean_inSight,mohon maaf pak ini hanya sebatas pandangan orang awam dan masyarakat biasa untuk saat ini saja nilai korupsi terbesar sepanjang sejarah dibawah kementrian bumn lalu bagaimana kedepannya dengan danantara
Afdha45907Fahmi,meminjam istilah bp sby sebenarnya lebih baik mengambil semua tabungan kita di bank bumn itu daripada nanti jumlahnya jadi nol karena sudah jadi saham danantara alias dana nta bawa sengsara
fikri_rasyid33,jangan salah ini alasan danantara kelola bumn moncer
_Haris_Srg,masuk angin nih media kalau ikn lanjut sdh dipastikan pakai dana danantara rakyat monitor pak bang kalau bumn mau investasi bisa kok dgn bentuk konsorsium kok mesti digabung ke danantara pakai disuntik pakai dana efisiensi lagi
Darleen65469593,danantara pastikan anggaran investasi hasil dividen bumn untuk kemajuan negara
ureungpungoo,pembentukan danantara tidak mengurangi kualitas operasional dan layanan perbankan serta keamanan simpanan masyarakat di bank bank bumn akan tetap beroperasi sesuai dengan regulasi yang berlaku dan menjunjung tinggi prinsip kehatihatian serta tata kelola perusahaan yang baik
gerbang_utama,danantara pastikan anggaran invetasi hasil dividen bumn untuk kemajuan negara
gerbang_utama,baca alasan danantara kelola bumn moncer
Hyun_Son_iL,pak gak herankuatir dgn ketua pengawas danantara mengawasi bumn aja gagal yg lgi viral korupsi berjamaah di pertamina jajaran direksi nya diangkat oleh mentri bumn bagaimana dia bisa ngawasi danantara apa anda masih trust cc
aclumsymama,trus kalo kita mo invest pasti harus tau minimal produk si perusahaan performa di bursa rekam jejak perusahaan utk yg ngerti finance akan lbh advanced baca laporan keuangannya sementara produknya danantara ini adalah bumn yg mana performanya kata prof ferry busuk
Coffee2Talks,pembentukan danantara adalah langkah strategis untuk meningkatkan kinerja dan efisiensi bumn serta mempercepat pertumbuhan ekonomi nasional
SiGue_41m,belum tuntas pak menteri bumn nya malah mau dilolosin dgn skema danantara yg kagak bisa dipidana bahkan diperiksa kpk pun hrs izin dpr dpr nyaa dikuasai gerombolan kan percuma
andriysn,prof mungkin benartapi cash nya ada dari pemerintah dan aset bumn di bawah danantara
_mylestari,danantara indonesia berpotensi mengakselerasi pertumbuhan ekonomi melalui efisiensi bumn investasi dan daya saing global untuk masa depan yang sejahtera
Marvelmaliki2,bisa sritex diambil alih pemerintah jadi bumn pake dana yg ada di danantara
youren_dow,jangan salah ini alasan danantara kelola bumn moncer
PriyonoDVinc,kagum lah akhirnya dengan cara danantara scenario rugi temasek bisa caplok bumn
akbarcadabraa,nonton penjelasan prof feri latuhihin soal danantara bgs banget dia kulitin semua knp harus super holding seperti danantara bukan super purpose vehicle buat kelola uang sebesar itu dan dampak bumn yg masuk danantara justru bikin saham mereka jeblok
rikywolf444,danantara indonesia adalah inisiatif presiden prabowo untuk membentuk super holding global dengan aset us900 miliar dan investasi awal us20 miliar guna meningkatkan efisiensi bumn dan mempercepat pertumbuhan ekonomi
msaid_didu,bapak yth terima kasih penjelasannya wajar sekali publik mempertanyakan danantara tsb sebagai cinta thdp bumn penyebabnya antara lain krn pengelola bumn yg merusak bumn selama ini masih diberikan kekuasaan di danantara sementara dalam 10 tahun terakhir di bumn
AmarMakruffff,wajar rakyat tidak percaya dengan danantara ini bumn yang sudah ada sejak lama saja masih rugi belum badan usaha yang lainnya kenapa harus ada danantara lagi badan usaha yang sekarang saja di ragukan transparansi nya
Nan4_ecia,transformasi ekonomi indonesia dimulai danantara membawa gebrakan baru dalam efisiensi bumn dan pengelolaan aset negara bersiaplah untuk pertumbuhan ekonomi yang lebih pesat
Nan4_ecia,danantara adalah strategi cerdas pemerintah untuk mengelola aset negara dengan lebih baik meningkatkan efisiensi bumn dan mendorong pertumbuhan ekonomi berkelanjutan indonesia siap melangkah lebih jauh
Nan4_ecia,bumn lebih efisien ekonomi makin stabil danantara hadir untuk mengoptimalkan aset negara dan mempercepat pertumbuhan ekonomi nasional langkah besar menuju indonesia maju
Nan4_ecia,dengan danantara pengelolaan aset negara lebih strategis bumn lebih optimal dan ekonomi indonesia tumbuh lebih cepat langkah cerdas untuk masa depan
Oktaviana9111,bumn energi tidak ketergantungan modal asing karena ada danantara
Oktaviana9111,danantara adalah konsolidasi semua kekuatan ekonomi kita yang ada di pengelolaan bumn
m_irfan4991,pertanyaannya kenapa mesti ada uu bahwa pejabat danantara bukan pejabat penyelenggara negara konsekuensinya jika ada kerugian mereka tdk bisa dituntut saham dibagi 2 saham a 1 buat bumn saham b 99 danantara siapa yg bisa jamin saham ini tidak dijual
Dedy44169434,tanpa malu2 semua bumn dikuasai orang2 gerinda udah ga ada lagi namanya orang profesional bahkan danantara jg dikuasai orang2 gerinda bubarkan saja indonesia
ErlitaZahrra,bumn holding industri pertambangan indonesia mind id meyakini pembentukan badan pengelola investasi daya anagata nusantara danantara merupakan langkah strategis untuk memperkuat investasi hilirisasi dan industrialisasi nasional
NabilaKeisha7,bumn holding industri pertambangan indonesia mind id meyakini pembentukan badan pengelola investasi daya anagata nusantara danantara merupakan langkah strategis untuk memperkuat investasi hilirisasi dan industrialisasi nasional
sobatbaik,bumn yg begini yg disertakan ke danantara
EarthMonarch,mari kita dukung pemerintah indonesia yang membantu bumn dengan hadirnya danantara
hambaallah2404,bumn akan semakin hebat jika bergabung dengan danantara
PallakaGO,makanya banyak yg meragukan danantara bumn yg masuk danantara diisi oleh org2 parpol
nonblok67,bener2 bikin tepok jidat untuk urusan ospek dan main karnaval2an saja harus pake eo yg ada label gerindra orang gerindra dan tkn sungguh sudah menyusup ke seluruh sendi2 jabatan mulai dari bumn danantara sampai even organizer aha
iyawok_iya,lucu kali kimaakk wkwkwkwkwkwkwkw ada org belain danantara di tiktok yg lagi bahas nilai saham bumn anjlok karna danantara kirain buzzer ternyata lagi berusaha optimis karna dia punya aset di sana ajggg lucu kali
ota_bibar2,kalo orang tidak rakus dan gentleman bahwa kewalahan megang 3jawaban apa salahnya buang jabatan menteri bumn kan masih punya 2jabatan yg mentereng 1pengawas duit 15rbt danantara 2ketum pssi
nano_cmh,roadmap gcg mestinya 1 bereskan dulu salah tata kelola amp korupsi bumn 2 tidak pilih pejabatmenteri yang sama sbg operator danantara 3 patuhi putusan mk ttg rangkap jabatan 4 luncurkan danantara stl kpercayaan thd bumn pulih gcg jika bukan utk negara utk siapa
nano_cmh,sbg presiden ahli good corporate governance gcg amp penasehat danantara mestinya bpk tdk hanya menilai niat baik pprabowo tapi juga menasehati roadmap danantara tdk sesuai dgn prinsip2 gcg yg jadi uu bumn amp uu perseroan terbatas keputusan mk tentang rangkap jabatan diterabas
AzzahraYasmin21,apa perlu petronas mengakuisisi pertamina pertamax oplosan peralite abal abal pertamina korup ahok murka bumn danantara hidup ndasmu
bbm_Oplosan,cati investor yg punya kasus aja sebab kalau investor yg otaknya normal gak akan mau mengakuisisi perusaahan yg punya hutang 25 t sementara asset hanya 9 t sudah gitu permintaan textil memurun drastisbunuh diri namanya kecuali sritex masuk jadi bumn suntik pakai danantara
rizalafta,bumn bumn yang rugi bukan karna usahanya tapi dicuri pendapatanya oleh koruptor malah mau nambah ladang lagi danantara yang udah ada aja produknya dibayar cash oleh konsumen malah usahanya rugi
rizalafta,di malaysia ron92 dijual rp 7500 liter malah untung perusahaannya bumn bumn yang rugi bukan karna usahanya tapi dicuri pendapatanya oleh koruptor malah mau nambah ladang lagi danantara yang udah ada aja produknya dibayar cash oleh konsumen malah usahanya rugi
rizalafta,bumn bumn yang rugi bukan karna usahanya tapi dicuri pendapatanya oleh koruptor malah mau nambah ladang lagi danantara yang udah ada aja produknya dibayar cash oleh konsumen malah usahanya rugi
p_d_analyst01,revisi uu kejaksaan dan kuhap mengamputasi kewenangan kpk dan polri koruptor ahok lagi puasa ujian seribu rupiah masjid negeri sultan ahmad 1 soal bbm oplosan pejabat bumn breaking news sritex temasek kagum pada danantara
hezky_2002,pecat menteri bumn erick thohir gagal total melakukan pengawasan thd bumn masih banyak bumn2 busuk krn pejabat nya berprilaku maling batalkan erick thohir jadi ketua dewan pengawas danantara kerja sibuk berpolitik urusan bola ngak akan mampu dia rangkap jabatan pak
Ivansatriop,ini semua bumn dibredel jangan2 biar ngasih opini kumpulin aja semua di danantara kalo sendiri2 korupsi semua kan
Muslich_Ahmad,perlu juga diperiksa sampai diatasnya masak iya bumn pada bangkrut masih saja dipertahankan jadi menteri bumn ehhskrng malah ditambahi lagi di danantara ra masuk akal
